Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Fiyat,Şehir,Binanın_Kat_Sayısı,Yatırıma_Uygunluk,Takas,Banyo_Sayısı,Oda_Buyuklugu,Banyo_Orani,Isıtma_Tipi_Doğalgaz Sobalı,Isıtma_Tipi_Güneş Enerjisi,Isıtma_Tipi_Isıtma Yok,Isıtma_Tipi_Jeotermal,Isıtma_Tipi_Kat Kaloriferi,Isıtma_Tipi_Klimalı,Isıtma_Tipi_Kombi Doğalgaz,Isıtma_Tipi_Merkezi (Pay Ölçer),Isıtma_Tipi_Merkezi Doğalgaz,Isıtma_Tipi_Merkezi Kömür,Isıtma_Tipi_Sobalı,Isıtma_Tipi_Yerden Isıtma,Isıtma_Tipi_Bilinmiyor,Kullanım_Durumu_Kiracı Oturuyor,Kullanım_Durumu_Mülk Sahibi Oturuyor,Kullanım_Durumu_Bilinmiyor,Tapu_Durumu_Bilinmiyor,Tapu_Durumu_Hisseli Tapu,Tapu_Durumu_Kat Mülkiyeti,Tapu_Durumu_Kat İrtifakı,Tapu_Durumu_Müstakil Tapulu,Tapu_Durumu_nan
120,150.0,4.0,4.0,2,21.0,950000.0,adana,6,0,1,1.0,30.0,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
100,125.0,4.0,3.0,1,4.0,1250000.0,adana,10,0,1,1.0,25.0,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
89,95.0,3.0,4.0,1,0.0,1750000.0,adana,14,1,1,1.0,29.666666666666668,0.3333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
40,55.0,2.0,6.0,1,0.0,1300000.0,adana,14,1,2,1.0,20.0,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
140,150.0,4.0,0.0,1,7.5,1700000.0,adana,4,1,2,1.0,35.0,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
40,55.0,2.0,12.0,1,7.5,765000.0,adana,13,0,0,1.0,20.0,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
90,110.0,3.0,2.0,0,0.0,1700000.0,adana,14,1,0,1.0,30.0,0.3333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
180,750.0,5.0,,1,18.0,3950000.0,adana,2,1,0,1.0,36.0,0.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
105,145.0,4.0,8.0,0,4.0,1995000.0,adana,11,1,0,1.0,26.25,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
110,130.0,4.0,4.0,0,7.5,2550000.0,adana,11,1,2,1.0,27.5,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
100,120.0,3.0,2.0,1,0.0,2465000.0,adana,6,0,0,1.0,33.333333333333336,0.3333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
130,145.0,4.0,2.0,1,18.0,2085000.0,adana,9,1,2,1.0,32.5,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
